date,Approve,Disapprove
2014-01-29,43.1,51.6
2014-01-30,43.1,51.6
2014-01-31,43.4,51.5
2014-02-01,43.3,51.5
2014-02-02,43.3,51.5
2014-02-03,43.3,51.6
2014-02-04,43.2,51.7
2014-02-05,42.9,51.9
2014-02-06,43.0,51.8
2014-02-07,42.9,51.9
2014-02-08,42.8,52.3
2014-02-09,43.1,52.1
2014-02-10,43.3,52.1
2014-02-11,43.1,52.3
2014-02-12,42.5,53.0
2014-02-13,42.3,53.0
2014-02-14,43.0,52.6
2014-02-15,43.2,52.6
2014-02-16,43.6,52.4
2014-02-17,43.0,52.8
2014-02-18,43.2,52.8
2014-02-19,43.6,52.4
2014-02-20,44.4,52.0
2014-02-21,44.2,52.0
2014-02-22,44.2,51.8
2014-02-23,44.2,51.8
2014-02-24,44.4,52.0
2014-02-25,44.0,52.6
2014-02-26,43.3,52.3
2014-02-27,43.0,52.5
2014-02-28,43.0,52.5
2014-03-01,42.7,53.0
2014-03-02,42.5,53.2
2014-03-03,42.8,52.8
2014-03-04,43.1,52.7
2014-03-05,42.5,53.2
2014-03-06,42.3,53.3
2014-03-07,42.5,53.2
2014-03-08,42.7,53.0
2014-03-09,43.0,52.5
2014-03-10,43.1,52.4
2014-03-11,43.4,52.1
2014-03-12,43.2,52.6
2014-03-13,43.0,52.9
2014-03-14,42.7,52.7
2014-03-15,42.8,52.7
2014-03-16,42.9,52.6
2014-03-17,42.9,52.6
2014-03-18,42.9,52.3
2014-03-19,43.4,51.9
2014-03-20,43.4,52.0
2014-03-21,43.1,52.4
2014-03-22,42.9,52.6
2014-03-23,43.1,52.6
2014-03-24,43.1,52.4
2014-03-25,43.2,52.3
2014-03-26,43.0,53.0
2014-03-27,42.6,53.5
2014-03-28,42.4,53.8
2014-03-29,42.5,53.6
2014-03-30,42.9,53.4
2014-03-31,43.4,52.9
2014-04-01,43.1,53.1
2014-04-02,42.9,52.9
2014-04-03,43.2,52.6
2014-04-04,43.4,52.5
2014-04-05,43.2,52.7
2014-04-06,42.9,52.8
2014-04-07,43.0,52.8
2014-04-08,43.0,52.7
2014-04-09,43.0,52.5
2014-04-10,42.9,52.5
2014-04-11,42.9,52.4
2014-04-12,42.9,52.4
2014-04-13,42.6,52.6
2014-04-14,42.8,52.5
2014-04-15,43.0,51.7
2014-04-16,43.6,51.6
2014-04-17,43.3,51.6
2014-04-18,43.4,51.5
2014-04-19,43.6,51.4
2014-04-20,43.8,51.3
2014-04-21,44.1,50.9
2014-04-22,44.7,50.8
2014-04-23,44.3,51.2
2014-04-24,43.7,52.2
2014-04-25,43.5,52.3
2014-04-26,43.7,52.5
2014-04-27,43.6,52.0
2014-04-28,43.3,52.3
2014-04-29,43.8,52.0
2014-04-30,43.7,51.8
2014-05-01,43.9,51.4
2014-05-02,43.8,51.4
2014-05-03,43.4,51.8
2014-05-04,43.4,52.0
2014-05-05,43.8,51.9
2014-05-06,43.9,51.7
2014-05-07,44.4,51.6
2014-05-08,44.0,52.1
2014-05-09,44.4,51.7
2014-05-10,44.1,52.0
2014-05-11,44.4,51.7
2014-05-12,44.3,51.7
2014-05-13,44.6,51.6
2014-05-14,44.5,51.1
2014-05-15,44.3,51.4
2014-05-16,44.0,51.5
2014-05-17,44.0,51.6
2014-05-18,43.9,51.9
2014-05-19,44.0,51.8
2014-05-20,44.0,51.9
2014-05-21,43.9,51.3
2014-05-22,44.3,50.9
2014-05-23,44.1,51.3
2014-05-24,44.0,51.4
2014-05-25,43.7,52.0
2014-05-26,44.0,51.7
2014-05-27,44.0,52.1
2014-05-28,44.0,51.9
2014-05-29,44.0,52.0
2014-05-30,43.9,52.1
2014-05-31,43.6,52.0
2014-06-01,43.6,52.0
2014-06-02,43.7,51.9
2014-06-03,43.6,52.7
2014-06-04,43.4,52.6
2014-06-05,43.4,52.4
2014-06-06,43.3,52.5
2014-06-07,43.1,52.8
2014-06-08,42.8,53.2
2014-06-09,43.5,52.5
2014-06-10,43.0,52.9
2014-06-11,43.1,52.7
2014-06-12,42.9,53.1
2014-06-13,42.6,53.5
2014-06-14,42.4,53.8
