Effect,id,topic,Estimate,StdErrPred,DF,tValue,Probt
Intercept,148,20,-0.00357,0.01393,46E3,-0.26,0.7974
Intercept,156,20,0.001808,0.01545,46E3,0.12,0.9069
Intercept,161,20,0.005214,0.01516,46E3,0.34,0.7309
Intercept,165,20,0.001022,0.01415,46E3,0.07,0.9424
Intercept,174,20,0.003143,0.01743,46E3,0.18,0.8569
Intercept,185,20,-0.00693,0.01728,46E3,-0.40,0.6885
Intercept,204,20,-0.00248,0.01578,46E3,-0.16,0.8750
Intercept,213,20,-0.00529,0.01571,46E3,-0.34,0.7364
Intercept,244,20,-0.01402,0.01534,46E3,-0.91,0.3607
Intercept,249,20,0.01217,0.01707,46E3,0.71,0.4760
Intercept,264,20,0.02908,0.01773,46E3,1.64,0.1011
Intercept,265,20,-0.01717,0.01673,46E3,-1.03,0.3047
Intercept,273,20,-0.00865,0.01393,46E3,-0.62,0.5346
Intercept,274,20,0.007266,0.01451,46E3,0.50,0.6165
Intercept,286,20,-0.00615,0.01778,46E3,-0.35,0.7294
Intercept,290,20,-0.01385,0.01580,46E3,-0.88,0.3807
Intercept,305,20,-0.02178,0.01526,46E3,-1.43,0.1535
Intercept,314,20,0.003597,0.01581,46E3,0.23,0.8200
Intercept,320,20,-0.00174,0.01867,46E3,-0.09,0.9257
Intercept,323,20,-0.00743,0.01502,46E3,-0.49,0.6208
Intercept,336,20,0.003539,0.01681,46E3,0.21,0.8333
Intercept,_,21,0.001875,0.007933,46E3,0.24,0.8132
Intercept,29,21,-0.00260,0.01291,46E3,-0.20,0.8405
Intercept,104,21,-0.02557,0.01368,46E3,-1.87,0.0615
Intercept,124,21,0.01295,0.01372,46E3,0.94,0.3455
Intercept,131,21,-0.00682,0.01255,46E3,-0.54,0.5871
Intercept,180,21,0.01149,0.01381,46E3,0.83,0.4054
Intercept,304,21,-0.02872,0.01359,46E3,-2.11,0.0345
Intercept,311,21,0.007232,0.01663,46E3,0.43,0.6636
Intercept,315,21,0.03656,0.01536,46E3,2.38,0.0173
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,22,0.01568,0.006262,46E3,2.50,0.0123
Intercept,0,22,-0.01872,0.01415,46E3,-1.32,0.1857
Intercept,15,22,-0.00835,0.01544,46E3,-0.54,0.5884
Intercept,18,22,0.01330,0.01492,46E3,0.89,0.3728
Intercept,28,22,-0.00153,0.01307,46E3,-0.12,0.9068
Intercept,46,22,0.01035,0.01543,46E3,0.67,0.5022
Intercept,96,22,0.005787,0.01457,46E3,0.40,0.6912
Intercept,98,22,-0.02259,0.01749,46E3,-1.29,0.1966
Intercept,106,22,0.002595,0.01581,46E3,0.16,0.8697
Intercept,135,22,-0.01272,0.01450,46E3,-0.88,0.3805
Intercept,138,22,0.008957,0.01629,46E3,0.55,0.5825
Intercept,141,22,0.02266,0.01857,46E3,1.22,0.2223
Intercept,184,22,-0.01673,0.01415,46E3,-1.18,0.2370
Intercept,190,22,0.01490,0.01628,46E3,0.92,0.3600
Intercept,199,22,-0.01027,0.01535,46E3,-0.67,0.5036
Intercept,201,22,0.01617,0.01549,46E3,1.04,0.2963
Intercept,216,22,-0.00522,0.01632,46E3,-0.32,0.7493
Intercept,232,22,0.01615,0.01826,46E3,0.88,0.3765
Intercept,254,22,0.008779,0.01300,46E3,0.68,0.4995
Intercept,292,22,0.01646,0.01517,46E3,1.08,0.2779
Intercept,301,22,0.01554,0.01555,46E3,1.00,0.3178
Intercept,309,22,0.004607,0.01727,46E3,0.27,0.7897
Intercept,310,22,0.009336,0.01788,46E3,0.52,0.6016
Intercept,321,22,-0.01275,0.01358,46E3,-0.94,0.3476
Intercept,326,22,-0.01889,0.01112,46E3,-1.70,0.0893
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,23,0.01037,0.008152,46E3,1.27,0.2035
Intercept,1,23,0.001896,0.01341,46E3,0.14,0.8875
Intercept,59,23,0.000878,0.01364,46E3,0.06,0.9487
Intercept,74,23,0.02363,0.01372,46E3,1.72,0.0850
Intercept,101,23,0.02616,0.01628,46E3,1.61,0.1081
Intercept,116,23,0.01586,0.01606,46E3,0.99,0.3236
Intercept,122,23,0.007334,0.01810,46E3,0.41,0.6853
Intercept,142,23,-0.02339,0.01553,46E3,-1.51,0.1319
Intercept,170,23,-0.00863,0.01492,46E3,-0.58,0.5630
Intercept,261,23,-0.01871,0.01518,46E3,-1.23,0.2175
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
